Subject Name,Sample ID,Project,Nucleic acid,Species,Cell type,Photoperiod,Diet,zTime,Hours from lights off,ExT,Sex,cage number,Extraction protocol,"Extraction pool (A,B,C)",Library protocol,Library Pool,Sequencing Lane
3_3,0101_30,Seasonal Study,RNA,Mouse,Liver,SL,HFD,8,2,17,Male,3,Trizol+ Qiagen Rneasy,A,Truseq stranded mRNAseq,1,2
7_4,0101_31,Seasonal Study,RNA,Mouse,Liver,LL,LFD,4,10,7,Male,7,Trizol+ Qiagen Rneasy,A,Truseq stranded mRNAseq,1,2
14_5,0101_32,Seasonal Study,RNA,Mouse,Liver,EL,LFD,12,0,18,Male,14,Trizol+ Qiagen Rneasy,B,Truseq stranded mRNAseq,1,2
19_1,0101_33,Seasonal Study,RNA,Mouse,Liver,LL,LFD,12,18,15,Male,19,Trizol+ Qiagen Rneasy,B,Truseq stranded mRNAseq,1,2
23_4,0101_34,Seasonal Study,RNA,Mouse,Liver,SL,LFD,16,10,1,Male,23,Trizol+ Qiagen Rneasy,C,Truseq stranded mRNAseq,1,2
21_2,0101_35,Seasonal Study,RNA,Mouse,Liver,LL,HFD,16,22,19,Male,21,Trizol+ Qiagen Rneasy,C,Truseq stranded mRNAseq,1,2
11_4,0101_36,Seasonal Study,RNA,Mouse,Liver,SL,LFD,0,18,9,Male,11,Trizol+ Qiagen Rneasy,B,Truseq stranded mRNAseq,1,2
15_4,0101_37,Seasonal Study,RNA,Mouse,Liver,SL,HFD,4,22,13,Male,15,Trizol+ Qiagen Rneasy,B,Truseq stranded mRNAseq,1,2
2_5,0101_38,Seasonal Study,RNA,Mouse,Liver,EL,LFD,16,4,22,Male,2,Trizol+ Qiagen Rneasy,A,Truseq stranded mRNAseq,1,2
23_3,0101_39,Seasonal Study,RNA,Mouse,Liver,SL,LFD,12,6,21,Male,23,Trizol+ Qiagen Rneasy,C,Truseq stranded mRNAseq,1,2
2_2,0101_4,Seasonal Study,RNA,Mouse,Liver,EL,LFD,4,16,10,Male,2,Trizol+ Qiagen Rneasy,A,Truseq stranded mRNAseq,1,2
13_1,0101_40,Seasonal Study,RNA,Mouse,Liver,EL,LFD,0,12,6,Male,13,Trizol+ Qiagen Rneasy,B,Truseq stranded mRNAseq,1,2
16_4,0101_41,Seasonal Study,RNA,Mouse,Liver,LL,HFD,12,18,15,Male,16,Trizol+ Qiagen Rneasy,B,Truseq stranded mRNAseq,1,2
14_3,0101_42,Seasonal Study,RNA,Mouse,Liver,EL,LFD,4,16,10,Male,14,Trizol+ Qiagen Rneasy,B,Truseq stranded mRNAseq,1,2
22_6,0101_43,Seasonal Study,RNA,Mouse,Liver,LL,LFD,0,6,3,Male,22,Trizol+ Qiagen Rneasy,C,Truseq stranded mRNAseq,1,2
14_4,0101_44,Seasonal Study,RNA,Mouse,Liver,EL,LFD,0,12,6,Male,14,Trizol+ Qiagen Rneasy,B,Truseq stranded mRNAseq,1,2
18_4,0101_45,Seasonal Study,RNA,Mouse,Liver,EL,HFD,4,16,10,Male,18,Trizol+ Qiagen Rneasy,B,Truseq stranded mRNAseq,1,2
10_1,0101_46,Seasonal Study,RNA,Mouse,Liver,EL,HFD,20,8,2,Male,10,Trizol+ Qiagen Rneasy,A,Truseq stranded mRNAseq,1,2
4_1,0101_47,Seasonal Study,RNA,Mouse,Liver,SL,LFD,8,2,17,Male,4,Trizol+ Qiagen Rneasy,A,Truseq stranded mRNAseq,1,2
23_5,0101_48,Seasonal Study,RNA,Mouse,Liver,SL,LFD,0,18,9,Male,23,Trizol+ Qiagen Rneasy,C,Truseq stranded mRNAseq,1,2
20_1,0101_49,Seasonal Study,RNA,Mouse,Liver,SL,LFD,0,18,9,Male,20,Trizol+ Qiagen Rneasy,B,Truseq stranded mRNAseq,1,2
12_5,0101_5,Seasonal Study,RNA,Mouse,Liver,EL,LFD,20,8,2,Male,12,Trizol+ Qiagen Rneasy,B,Truseq stranded mRNAseq,1,2
